"message","post_id","timestamp","reactions_count"
"⚠️Parenting Tips‼️May lagnat ang anak? Mga dapat gawin para bumaba ang lagnat nito!

Sa pag aalaga sa batang may lagnat, maaaring ayaw niyang uminom ng gamot. 

Natural lang sa atin ang mag-alala, subalit sa halip na mabalisa, dapat ay maging handa tayo sa mga ganitong sitwasyon at alamin kung ano ang mga dapat gawin para bumaba ang lagnat ng bata.
_______
🤔Paano masasabing may lagnat ang bata?
Ang paglalagay ng kamay sa noo at leeg ay isa sa mga paraan na nakasanayan natin para masabing may lagnat ang bata o isang tao. 
🌡️Pero para mas maging accurate, may tatlong paraan gamit ang thermometer ang inirerekumenda ng mga doktor.

Ang mga paraan na ito ay naiiba base sa kung saang parte ng katawan kinunan ng temperature ang bata. At sa bawat parte ng katawan na ito ay maaaring maiba-iba ang makuhang temperatura.

🤒Kung gagamit ng oral thermometer o sa pamamagitan ng bibig kinuha ang temperatura ng isang bata, masasabing siya ay may lagnat sa oras na lumagpas sa 100°F o 37.8°C ang nakuhang temperatura sa kaniya.

🌡️Kung ang temperatura naman ay kinuha gamit ang rectal thermometer o sa puwit, masasabing may lagnat ang bata sa oras na higit sa 100.4°F o 38°C ang temperaturang nakuha.

🌡️Habang kung sa kili-kili naman kinuha ang temperatura o axillary kung tawagin, ang bata ay masasabing may lagnat na sa oras na higit sa 99°F o 37.2°C. Masasabi namang mataas ang lagnat ng bata sa oras na ito ay umabot na sa 102°–104°F o 38.9°–40°C. 

✅Kapag mataas ang lagnat ng iyong anak, importante ring alamin ang tamang gamot sa lagnat ng bata 4 years old pababa upang masiguro ang kanilang mabilis na paggaling.
________
‼️Narito ang ilang mga hakbang na makatutulong upang mabawasan ang kanilang lagnat at maibalik ang kanilang sigla. Magsimula tayo sa mga simpleng bagay na maaaring gawin para bumaba ang lagnat at mas mapadali ang kanilang paggaling.

🤔Paano mawala ang lagnat ng bata?‼️

1. Siguruhing presko ang kaniyang suot

Kung hindi naman siya nilalamig, hindi tama na kumutan ang bata na nilalagnat. Kapag ginagawa ito, mas lalong tumataas ang temperatura at mas lalong iinit ang katawan. Kailangang malamigan ang kanyang katawan kaya bawasan ang layer ng kaniyang suot para bumaba ang temperatura.

2. Mabisang gamot sa lagnat ng bata: Hikayatin siyang uminom ng inumin

Siguraduhing nakaka-inom ng walong basong tubig ang batang may lagnat. Makakatulong ito para mailabas ang init ng katawan sa pamamagitan ng pag-ihi.

3. Pakainin siya ng marami

Mas mabilis gumaling ang bata kung siya ay kumakain ng sapat. Mas mapalalakas nito ang kanyang katawan para mas mabilis siyang gumaling. Kaya naman mas mainam kung mainit na sabaw ang pakakainin.

4. Maligamgam na panligo. 

Iwasang paliguan ng malamig na tubig ang iyong toddler.  Paliguan ang bata ng ilang minuto gamit ang maligamgam na panligo.

5. Sponge bath

Kung ayaw syang paliguan, subukan ang maligamgam na sponge bath para mapababa ang kanyang lagnat. Pagkatapos ay bihisan agad ang bata para hindi na siya lamigin.

6. Cold Compresses: Nilalagay sa noo ng bata pag may lagnat

Ang paglalagay ng malamig na washcloth sa kanyang noo, pulso, at mga bahagi ng katawan kung saan malapit ang mga ugat sa balat. Ang nilalagay sa noo ng bata pag may lagnat ay makakatulong para maging presko ang kaniyang pakiramdam.

7. Alukin siya ng ice cubes

Kung ayaw niya uminom, bigyan siya ng ice cubes o ice chips na maaaring sipsipin. Makakatulong ito na ma-hydrate siya at mapalamig din. 
_________
☝🏽⚠️Dapat tandaan sa pagpapa-inom ng pampababa ng lagnat ng bata na gamot‼️

Kung paiinumin ng mabisang gamot sa lagnat ng bata, siguraduhing sundin ang payo ng doktor. Isa sa mga bagay na dapat alamin ay ang klase ng gamot na mayroon kayo, o kung ano ang dapat bilhin. 

✔️Before you give the medication(paracetamol) dapat you have to check the PREPARATION minsan sinasabi ng parents, ‘syrup po ‘yong meron ako’ but actually if you look at the box ay drops ‘yon.

✔️So ‘pag drop hanggang 2 years old very concentrated ‘yong forrmulation ng gamot. So 1 ml of a drop will have 100 mg versus mga mas dilute ang syrup.

✔️Yong iba 120 per 5 ml. ‘yong iba 250mg per 5 ml. So number 1, be very careful. Be very careful of what you actually have or what you actually bought.”

✔️dapat ding tignan ang tamang DOSAGE para sa anak. Kadalasan umano itong nakabase sa bigat ng bata. 

✔️But best if you really ask your pediatrician what’s the safe range because if you overdose on paracetamol, depending on the dose, pwedeng magkaroon ng liver failure young bata.

✔️That’s one cause din for bringing a child to go to the emergency room if masyadong madami ‘yong nainom ng bata kasi that could have long-term effects. 

✔️📌One thing I can really recommend to parents is to before you give any medication, you should check the preparation and check the dose. Because it is not a drug that has no side effects if you overdose it. 

✔️If you’re giving the proper dose, the proper time but still the temperature is not going down, baka kailangan talaga mas ma-assess yung bata. Baka may iba palang infection kaya hindi nawawala and lagnat.

✔️Kaya naman, importanteng magkaroon ng body thermometer lagi sa bahay para sa mga panahong ganito para ma monitor mo ang lagnat sa bata temperature.
_________
Tandaan‼️Kung ang lagnat ng iyong anak ay tumagal ng tatlong araw o higit pa, o kaya naman ay hindi bumababa sa tulong ng home remedies at gamot sa lagnat na nireseta ng doktor, pumunta na sa pinaka malapit na ospital upang siya ay mabigyan ng tamang diagnosis at prescription.

👍🏼Dalhin din ang bata sa ospital agad-agad kapag ang kaniyang lagnat ay sinasamahan ng mga sumusunod na sintomas:

📌pamumutla o kulay blue na labi, dila o mga kuko
📌pagiging balisa at patuloy na pag-iyak
ayaw uminom ng tubig
 📌kinokombulsyon (seizures)
📌may senyales ng dehydration (kaunting ihi, 📌walang luha kapag umiiyak)
📌pananakit ng tiyan
📌nahihirapang lumakad
📌stiff neck
📌nahihirapang huminga o hinihingal
📌rashes na kulay purple na parang pasa

Source: WebMD, NHS, Arnold Palmer Hospital, Cleveland Clinic, Very Well Family, Kids Health,theasianparent
Dr.Mitch V. Mendoza

@everyone
@followers
@highlight","778908398244725","1760144420","489"
"laplapan ang gamot sa lagnat, hindi ba?","1573960837014695","1765621800","8"
"mga mii, normal langba pa balik balik lagnat ne baby .. teething stage na kasi Siya😔","1989725038640084","1770306253","19"
"putangina sa edad kong to naiiyak pa ako sa lagnat","740404455709547","1758364004","14863"
"sino mabait jan? sainyo nalang itong lagnat ko","1608527873557991","1768216151","20"
"Pagaling kna bta taas lagnat mo🙏😘
Pra mkapasok na si mader🙏
#temperature","4351031888549625","1770693301","44"
"Mga mommy pag may lagnat ba si baby wag tapatan ng efan or bawal mag aircon para pagpawisan? Tnx","1451168159985198","1771675639","6"
"mga mii, normal langba pa balik balik lagnat ne baby .. teething stage na kasi Siya😔","1989725038640084","1770306253","19"
"paano raw po tanggalin yung lagnat? edi, baliktarin mo bwhahawhahaha waley na","1626354588441986","1769441908","5"
"Uso ba lagnat ngayon? nilagnat kasi kami lahat sa bahay namin bago kami mag flight nung friday dapat 😭😭","709605331402769","1756224144","7"
"bkt kaya pabalik² ang lagnat ng baby ko, 😢","1921475388798383","1763256259","22"
"Hello po ..7 months pregnant 🥲my ubo, lagnat , sipon pwede po ba ako uminom ng biogesic? Hindi kasi ako maka pag check up wala pang Pera.. Respect post","1420659902997684","1762570389","15"
"May pneumonia si LO ko 3 months siya now hindi halata kasi masigla, magana kumain, walang lagnat at sipon lang meron may paminsang ubo na kapag nasasamid lang. nahawa siguro dito sa bahay halos lahat may ubo at ako lang nag kukusang mag facemask dito sa bahay di ko sila ma required side kasi ng hubby. Ayaw pa sana ipadala sa hospital ng baby daddy ako lang nag pilit talaga kasi iba na ang pag hinga kapag tulog at hirap makatulog kapag naka lapag. May pahalak halak din siya kapag after dumede ayaw pa nila maniwala sakin. Please trust your instincts mga mommy wag na mag self medicate hanggat maari. Ang sabi ng doctor buti naagapan ngayon di kami na admit pero may antibiotics na pinainom at pausok tas monitoring sa breathing ni baby balik na for follow up after 5 days.","2260557074353658","1770451844","17"
"mga kulay ng vaginal discharge at mga posibleng sintomas.

🟢 Clear / Transparent
Kahulugan: Normal
Sintomas:
Walang amoy
Medyo madulas o parang egg white (karaniwan sa ovulation)

⚪ Putî
Kahulugan: Normal kung walang ibang sintomas
Babala kung:
Makati
Makapal parang keso
➡️ Posibleng yeast infection

🟡 Dilaw
Kahulugan:
Normal kung maputla at walang amoy
Hindi normal kung matingkad at mabaho
Sintomas:
Mabahong amoy
Pangangati o hapdi
➡️ Posibleng bacterial infection o STI

🟢 Berde
Kahulugan: Hindi normal
Sintomas:
Mabaho
Makati
Masakit sa pag-ihi
➡️ Posibleng impeksiyon (kailangang ipatingin)

🔴 Pula / Pink
Kahulugan:
Regla
Spotting (normal minsan)
Babala kung:
Hindi ka nireregla
Paulit-ulit
➡️ Pwedeng hormonal issue o ibang kondisyon

⚫ Kayumanggi
Kahulugan:
Lumang dugo (karaniwan bago o pagkatapos ng regla)

Babala kung:
May kasamang sakit o mabahong amoy
⚠️ Kailan dapat magpatingin?
Matinding pangangati o hapdi
Mabahong amoy
Berde o matingkad na dilaw na discharge
May kasamang lagnat o pananakit ng puso

#VaginalDischarge
#KulayNgDischarge
#KalusuganNgKababaihan
#WomenHealth
#selfcare","829964596766511","1770674750","17397"
"‼️10 FACTS ABOUT DENGUE FEVER ‼️

1. Virus ang Dengue. Hindi siya bacteria. Kaya hindi kaylangan ng antibiotics.

2. Katulad ng ibang virus, self limiting din ang sakit na ito, kusa itong mawawala kahit walang gamot. 

3. Hydration ang importante kapag may dengue ang bata. Mas mainam na mag pa inom ng mga Oral Rehydration Solution na pwedeng bilhin sa mga drug store para hindi ma dehydrate si baby. 

4. Ilan sa mga warning signs ng dengue ay pananakit ng tiyan, pag susuka, pag durugo ng ilong at gilagid, at pagtamlay. Mas mainam naka admit si baby pag may warning signs para mas ma-monitor ng maigi. 

5. Ang pag baba ng platelet ay hindi warning sign. 
Ngunit ang pag akyat ng pula ng dugo (hematocrit) ang siyang mas mapanganib. 

6. Hindi ito nakakahawa. Ito ay sanhi ng kagat ng lamok.

7. Nakakatakot ang dengue pag hindi maaagap. Kaya mag patingin agad sa Doctor pag may sintomas ng pag lagnat ng ilang araw, pananakit ng tiyan, suka ng suka, pag tamlay, walang ganang kumain.

8. Tungkol sa tawa tawa para mapataas ang platelet — May ilang maliit na pag-aaral na nagsasabing puwede itong makatulong, pero kulang pa ang matibay na ebidensya. Hindi pa ito aprubado ng DOH o WHO bilang gamot sa dengue.

9. Dumadami ang kaso ng Dengue Fever ngayon kaya mag ingat. Itapon ang mga nakaimbak na tubig sa bahay. Maglinis ng kanal. Gumamit ng mosquito repellent sa mga bata edad 1 yr old pataas. Mag pasuot ng mahahabang damit at pajama lalo na sa gabi. Gawin maaliwalas at malinis ang paligid. Gumamit ng kulambo kung maaari.

10. Walang pinipiling edad ang dengue. #DengueFacts #PediaMom","1270949321711659","1759463424","1492"
"TB Patient po, may issue po sa 4 in 1 na gamot.

May tolerable na pangangati sa Isoniazid at Refampicin, pero sa ethambutol nilalaganat po.

Ano pong dapat gawin? 3 tabs ng 4 in 1 ang iniinom, kaso di po kaya.

Sinasabayan na namin ng cetirizine at biogesic pero yung lagnat ayaw mawala.

Sana po may makasagod, as per Doctor po, hindi daw pwede bawasan o baguhin yung gamot. 😔","1566928091054452","1771831420","4"
"Ang taas po ng lagnat ng anak ko, start lang kaninang after lunch 38.4, nag paparacetamol din siya every 4 hours. Mainit yung ulo niya pero yung talampakan niya malamig. Nangyari na din po ba ito sa mga anak niyo, ano pong first aid na pwedeng gawin?","2313582659154346","1767438443","16"
"being a good person doesn't mean tolerating everything.

you can be kind and generous and still know where your limits are. you can care deeply for others and still choose yourself when something isn't right for you. Setting boundaries doesn't make you cold, selfish, or difficult it means you're human and you're protecting your peace.

the right people will respect that.","681621184943296","1756270067","5285"
"gusto ko pera, binigay sakin lagnat","610365125326401","1742812802","750"
"grabe ubo at sipon ng LO ko  my lagnat nadin sya ano kayang mabisang pang gamot  sabe ksi s pedia bawal p sya pa inomin ng gamot kasi 4mos palang paracetamol lang ang pwd🥲 hilaw ang sipon nya","2344727836039828","1769877519","221"
"Pang 3 days na ngaun ung lagnat ng bb ko Positive sya sa dengue & thypoid normal pa ba yun na hindi bumababa ung lagnat kahit nakaparacetamol na cya","1558540035292908","1766937329","16"
"‼️10 FACTS ABOUT DENGUE FEVER ‼️

1. Virus ang Dengue. Hindi siya bacteria. Kaya hindi kaylangan ng antibiotics.

2. Katulad ng ibang virus, self limiting din ang sakit na ito, kusa itong mawawala kahit walang gamot. 

3. Hydration ang importante kapag may dengue ang bata. Mas mainam na mag pa inom ng mga Oral Rehydration Solution na pwedeng bilhin sa mga drug store para hindi ma dehydrate si baby. 

4. Ilan sa mga warning signs ng dengue ay pananakit ng tiyan, pag susuka, pag durugo ng ilong at gilagid, at pagtamlay. Mas mainam naka admit si baby pag may warning signs para mas ma-monitor ng maigi. 

5. Ang pag baba ng platelet ay hindi warning sign. 
Ngunit ang pag akyat ng pula ng dugo (hematocrit) ang siyang mas mapanganib. 

6. Hindi ito nakakahawa. Ito ay sanhi ng kagat ng lamok.

7. Nakakatakot ang dengue pag hindi maaagap. Kaya mag patingin agad sa Doctor pag may sintomas ng pag lagnat ng ilang araw, pananakit ng tiyan, suka ng suka, pag tamlay, walang ganang kumain.

8. Tungkol sa tawa tawa para mapataas ang platelet — May ilang maliit na pag-aaral na nagsasabing puwede itong makatulong, pero kulang pa ang matibay na ebidensya. Hindi pa ito aprubado ng DOH o WHO bilang gamot sa dengue.

9. Dumadami ang kaso ng Dengue Fever ngayon kaya mag ingat. Itapon ang mga nakaimbak na tubig sa bahay. Maglinis ng kanal. Gumamit ng mosquito repellent sa mga bata edad 1 yr old pataas. Mag pasuot ng mahahabang damit at pajama lalo na sa gabi. Gawin maaliwalas at malinis ang paligid. Gumamit ng kulambo kung maaari.

10. Walang pinipiling edad ang dengue. #DengueFacts #PediaMom","1270949321711659","1759463424","1492"
"tinatablan din pala ng lagnat ang masarap na katulad ko","1421809062369386","1749050276","7"
"gusto ko pera, binigay sakin lagnat","610365125326401","1742812802","750"
"Gusto ko makabasa ng comforting words po galing sa mga nanay na at lalo na sa mga naka experience ng case ko. December 10 iniwan ako ng pinakamamahal ko na anak 2 months and 10 days na sya. Cause of death SUDDEN INFANT DEATH SYNDROME. Sobrang sakit bilang isang ina na iwan lang bigla. Super healthy nya walang complication, newborn test at lahat. Natuwa pa nga si doc kasi perfect ang hearing test nya, wala din siyang lagnat o any complication, magka sinat lang nga sya pacheck up agad. Di din sya nakatagilid kasi di pa sya marunong, ganyan mismo ang pwesto nya nung natulog sya at ganyan din pwesto nya nung nawala sya. Pinapunta nya lang ako sa trabaho dahil 4:23 am umalis na ako para magwork. Tas 7: 33am na ako nakatanggap ng tawag na isinugod anak ko sa ER at yun ang pinaka masakit sa lahat. . Kung pwede po sana walang CONDOLENCES comforting words po sana para gumaan kahit papano ang pakiramdam ko. Its been 5 days na pero iba na tumatakbo sa isip ko. Pinipigilan ko hanggat kaya pa, iba pala talaga pag ikaw na mismo ang maka experience nito😭😭 Ito yung litrato nya na huli nung gabi na pinasukat ko sa kanya ung damit na inorder ko.. pagka madaling araw 4 am nag play pa kami tapos 7 am sinugod sya sa hospital wala na pag asa. Ang sakiitt.","2294997594346186","1765990406","15036"
"Patient ko kahapon about 1 year old may fever 4 days ago then inubo 3 days ago. Tinanong ko if very playful ba? Ang sagot di playful. Medyo clingy. 

So I said, dengue suspect. Need magpakuha agad ng blood test. 

Lumabas na mababa ang platelet at inadvisan kong madextrose para di madehydrate. 

Wala pong rashes, wala pong bleeding signs, pero nevertheless delikado pa rin if pina uwi lang. 

It was easy to think na ubo lang ang sakit ng baby. Pwede sanang binigyan ko lang ng gamot sa ubo at pinauwi. 

Key points:

Karamihan ng Pulmoniya ay nauuna ang ubo kaysa sa fever (kanya baliktad) (of course not all the time)

Most of the tiime influenza ang nauuna ang fever kaysa sa ubo which is pwedeng di maadmit. 

But both pulmoniya at flu ay maraming episodes pa rin na active or playing lalo na kung nawawala ang lagnat.

Yung sagot na clingy most of the time is a red flag for dengue. 

So if di ko nacheck ang dugo at tumakbo pa ng 2 days sa bahay, pwede papasok sa low blood pressure phase at maging peligro.

It takes years of observation bago po madevelop ng isang Doctor ang kanyang clinical eye. Pwede pong sa ubo lang ako nagfocus, but I know better than that. 

One life saved. Help me to save more. 

42 Mata, Doc Marites for Senator
(Marites is short for Mata, Richard Tesoro)","1176285140539012","1740024812","79231"
"Magandang gabi mga mii,,
Ano po mabisang herbal na makakapag paampat ng pagsusuka at tae ng bata? may lagnat din po siya..nilabasan din po siya ng buhay na bulate nakaraang araw..
Ilan arw na din po siya nagtatae at suka,pinainom na po namin ng nilagang katawan ng saging,para po maampat pagtatae,pero hndi pa din po hanggang ngayun gumagaling 😢 Papa checkup po sana namin sa public hospital kaso hanggang feb 20 pa dw po walang doktor na duty dun... Di po namin kaya sa private dhil 1k po checkup palang bukod pa ireresetang gamot , sana po may makapagsabi kung ano po magandang ipainom na herbal,, siya din po yung baby warior ko na mayroon karamdaman na rectovaginal fistula...","2002112407401347","1771443447","385"
"DENGUE. 39.6 pinakamababa 38.4 laging 39 taas ng lagnat sobrang pula na nya leeg at kilikili. hindi nakakain sa lata at taas ng lagnat. 😢 lakas mo yuan! 💪 mas lakasan mo pa 🙏🙏 until now sobrang taas pa din kahit nasa hospital na. ngayon naglalabasan na lahat ng red dots at pantal.","1949143582352756","1768757755","598"
"DENGUE. 39.6 pinakamababa 38.4 laging 39 taas ng lagnat sobrang pula na nya leeg at kilikili. hindi nakakain sa lata at taas ng lagnat. 😢 lakas mo yuan! 💪 mas lakasan mo pa 🙏🙏 until now sobrang taas pa din kahit nasa hospital na. ngayon naglalabasan na lahat ng red dots at pantal.","1949143582352756","1768757755","598"
"Wag ipagsawalang bahala ang simpleng ubo at lagnat lalo na pag bata. Fly high 3yrs old little boy 🕊️ 🕊️ #Katusok","26084263801204435","1771491406","14072"
"lagnat lang 'to, astig ako.","659577436579421","1741509780","3558"
"Inakala ng mga doktor na TB ang sakit niya, pero may natuklasan silang hindi inaasahan. 

Isang 27-anyos na babae ang nakaranas ng ilang buwang ubo at lagnat na hindi gumaling kahit na ginamot na siya. 

Ayon sa isang viral na kwento sa internet, ipinakita ng scan na may kakaibang bagay na parang bag sa kanyang baga. 

Inalis ito ng mga doktor at natuklasan na ito pala ay isang condom na aksidenteng na-inhale habang may intimate na pangyayari. 

Pagkatapos naalis, nagsimulang gumaling ang babae, at nagtapos ang isang nakakagulat at bihirang misteryo medikal.","932196122646442","1771826409","137"
"buang Wade Slader","867937295872050","1767534222","6"
"‼️10 FACTS ABOUT DENGUE FEVER ‼️

1. Virus ang Dengue. Hindi siya bacteria. Kaya hindi kaylangan ng antibiotics.

2. Katulad ng ibang virus, self limiting din ang sakit na ito, kusa itong mawawala kahit walang gamot. 

3. Hydration ang importante kapag may dengue ang bata. Mas mainam na mag pa inom ng mga Oral Rehydration Solution na pwedeng bilhin sa mga drug store para hindi ma dehydrate si baby. 

4. Ilan sa mga warning signs ng dengue ay pananakit ng tiyan, pag susuka, pag durugo ng ilong at gilagid, at pagtamlay. Mas mainam naka admit si baby pag may warning signs para mas ma-monitor ng maigi. 

5. Ang pag baba ng platelet ay hindi warning sign. 
Ngunit ang pag akyat ng pula ng dugo (hematocrit) ang siyang mas mapanganib. 

6. Hindi ito nakakahawa. Ito ay sanhi ng kagat ng lamok.

7. Nakakatakot ang dengue pag hindi maaagap. Kaya mag patingin agad sa Doctor pag may sintomas ng pag lagnat ng ilang araw, pananakit ng tiyan, suka ng suka, pag tamlay, walang ganang kumain.

8. Tungkol sa tawa tawa para mapataas ang platelet — May ilang maliit na pag-aaral na nagsasabing puwede itong makatulong, pero kulang pa ang matibay na ebidensya. Hindi pa ito aprubado ng DOH o WHO bilang gamot sa dengue.

9. Dumadami ang kaso ng Dengue Fever ngayon kaya mag ingat. Itapon ang mga nakaimbak na tubig sa bahay. Maglinis ng kanal. Gumamit ng mosquito repellent sa mga bata edad 1 yr old pataas. Mag pasuot ng mahahabang damit at pajama lalo na sa gabi. Gawin maaliwalas at malinis ang paligid. Gumamit ng kulambo kung maaari.

10. Walang pinipiling edad ang dengue. #DengueFacts #PediaMom","1270949321711659","1759463424","1492"
"Si kabayan simpleng lagnat Lang dw skit nya pero nauwi sa binawian sya  NG buhay😥siya si Katrina amang sajulga taga Serra buliones bohol rest in peace kabayan 🙏
#everyone #highlightseveryonefollowers2025","2665457540492330","1770889695","297"
"walang lagnat pero mainit ang katawan sa Gabi symptoms din poba yan","1366977301480683","1762414997","4"
"Grabe yung lagnat ng mga bata ngayon ilang araw pabalik balik

Si Jandi ko din halos limang araw na nagpabalik balik lagnat napa checkup namin noong friday niresetahan ng gamot para sa sipon at ubo nya.

Pero pabalik balik pa din lagnat umaabot ng 39.2 kaya kagabi dinala din namin sa Hospital

Okay naman result ng ihi niya & blood test.Napa xray din namin meron konting plema.

Pero pinatuloy lang yung unang reseta ng Doc ayun pa din gamot niya.Nakakatakot talaga pag mga bata nagkakasakit.At ngayon lang nilagnat si Jandi namin ng ganto katagal .Wala naman ibang masakit sa kanya ,di naman nagsusuka at nagtata3 .","2493481657774845","1771821450","71"
"tinatablan din pala ng lagnat ang masarap na katulad ko","1421809062369386","1749050276","7"
